property_id,proposed_property,prior_work_id,prior_work,overlap,difference,evidence_ids,discriminating_experiment,status,notes
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-SGW,Shared Global Workspace,"Bounded slots with competitive writes and broadcast reads",No episodic transaction or shared physical-price policy,EV-0003,Compare same workspace under fixed separated and joint controllers,INCLUDED,Workspace component is prior art
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-ACT,Adaptive Computation Time,"Learned bounded recurrent depth and halting",No external mutable memory or cross-resource controller,EV-0013,Hold components fixed and intervene on recurrent-step prices,INCLUDED,Halting component is prior art
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-FREY,Adaptive Loops and Memory in Transformers,"Learned per-layer halting plus gated local and global memory",Memory is static at inference and not versioned episodic storage,EV-0018,Compare against reduced-scale Frey-equivalent controller under matched FLOPs,INCLUDED,Direct closest threat
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-UTM,Universal Transformers Need Memory,"State capacity and ponder depth substitute at fixed accuracy",Uses memory tokens rather than mutable episodic transactions,EV-0019,Randomize state and ponder prices and measure oracle regret,INCLUDED,Memory-compute trade-off is prior art
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-MOR,Mixture-of-Recursions,"Token-level adaptive recursive depth coupled to selective KV caching",No transactional episodic store or shared full action-price vector,EV-0027,Compare to a MoR-style depth/cache controller with identical backbone,INCLUDED,Adaptive recursion plus memory traffic is prior art
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-ATLAS-AGENT,Agentic Test-time Learning-to-Allocate Scaling,"Orchestrator gathers evidence allocates reasoning effort and stops",Agentic orchestration is not the candidate typed neural state machine,EV-0029,Matched action-cost intervention and same evidence interface,INCLUDED,Disambiguate from neural-memory ATLAS
P-002,Versioned transactional mutations with immutable provenance binding,PW-P002-MEMOS,MemOS,"Provenance versions scheduling lifecycle transactions and rollback",No demonstrated immutable payload-binding intervention under one learned neural policy,EV-0023,Payload-held-constant provenance swaps against a fixed MemOS-style store,INCLUDED,Broad versioning and provenance novelty rejected
P-002,Versioned transactional mutations with immutable provenance binding,PW-P002-LARIMAR,Larimar,"Online episodic writes sequential edits and selective forgetting",No bitemporal event log or provenance intervention suite,EV-0024,Matched temporal mutation and rollback benchmark,INCLUDED,Targeted subsystem comparator
P-002,Versioned transactional mutations with immutable provenance binding,PW-P002-MEMLLM,MemLLM,"Learned explicit reads writes and stale-value replacement",No transactional provenance invariant or full lifecycle semantics,EV-0025,Same structured memory API with immutable versus detachable provenance,INCLUDED,Targeted subsystem comparator
P-003,Constrained allocation with complete physical resource accounting,PW-P003-SDM,Sparse Delta Memory,"Iso-parameter iso-FLOP explicit-memory comparison with resource reporting",Does not cover the full physical accounting vector,EV-0021,Charge indexing transfers writes storage warm-up latency HBM and energy,INCLUDED,Protocol delta only
P-003,Constrained allocation with complete physical resource accounting,PW-P003-ENGRAM,Conditional Memory via Scalable Lookup,"Optimizes memory-compute allocation and reports host-memory prefetch overhead",Static lookup rather than per-instance mutable episodic allocation,EV-0022,Reproduce ranking under end-to-end accounting and randomized prices,INCLUDED,Pin arXiv version 2
P-003,Constrained allocation with complete physical resource accounting,PW-P003-CAT,Controllably Efficient Language Models,"One model exposes a quality-compute-memory operating curve",Budget is user-selected rather than data-dependent per instance,EV-0026,Compare data-dependent allocation at identical operating points,INCLUDED,Pin version 2 and exact title
P-003,Constrained allocation with complete physical resource accounting,PW-P003-MOR,Mixture-of-Recursions,"Reports compute KV traffic throughput and a Pareto frontier",Does not include the complete persistent-memory and transaction cost vector,EV-0027,Rebuild Pareto fronts including all omitted costs and raw traces,INCLUDED,Accounting must change a conclusion to count as contribution
P-004,Non-additive interaction unavailable from components alone,PW-P004-HOLA,HOLA,"Fixed recurrent state plus bounded exact KV memory already interact",Write policy is residual-based and cache is not persistent/versioned,EV-0020,Full factorial with identical components and fixed versus learned routing,INCLUDED,Exact internal KV is not exact source payload
P-004,Non-additive interaction unavailable from components alone,PW-P004-FREY,Adaptive Loops and Memory in Transformers,"Jointly varies adaptive looping and gated memory under matched resources",Does not test mutable transactional I/O or the candidate coordination factorial,EV-0018,Preregister local/cross-resource observation by local/joint-gradient 2x2,INCLUDED,Aggregate gain is insufficient
P-004,Non-additive interaction unavailable from components alone,PW-P004-UTM,Universal Transformers Need Memory,"Empirically measures state-depth substitution",Does not test the full candidate action set,EV-0019,Require interaction beyond substitution and replicate at two sizes,INCLUDED,A null coordination contrast forces STOP
P-004,Non-additive interaction unavailable from components alone,PW-P004-COMPOSITE,"HOLA plus Mixture-of-Recursions plus MemOS plus adaptive stopping","A near-complete composite is constructible from disclosed mechanisms",No single read record establishes the exact trained policy but assembly is not novelty,"EV-0020;EV-0023;EV-0027;EV-0013",Same-component fixed and separated controls plus randomized resource-price intervention,INCLUDED,Primary anti-rewrite baseline
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-UMA,Learning to Remember / UMA,"One end-to-end policy controls compact core state structured mutable memory CRUD-like tools iterative retrieval and terminal answering",No explicit full physical resource vector or candidate workspace ontology,EV-0031,Compare identical UMA-style components under matched fixed separated and joint training,INCLUDED,Near-direct anticipation makes the remaining action labels an assembly
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-GRUMEM,GRU-Mem,"Recurrent memory processing with learned update and exit gates trained by dedicated rewards",No versioned transactional store or broad action union,EV-0032,Add the strongest structured-memory policy without claiming the combination as new,INCLUDED,Closes the learned memory-update plus halt gap
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-AGEMEM,AgeMem,"One policy selects long-term and short-term memory tools including ADD UPDATE DELETE RETRIEVE SUMMARY and FILTER",No joint recurrent-compute allocation or complete resource vector,EV-0033,Match action support information and policy capacity against an AgeMem-style controller,INCLUDED,Unified memory management is direct prior art
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-CMDP-BMDP,CMDP and BMDP control classes,"State-dependent policies optimize reward under one or more costs and can condition on a runtime budget",Domain-specific memory actions and pathwise engineering invariants are not supplied,"EV-0035;EV-0036",Define a relabeling-invariant object or a proven separation from arbiter-plus-head policies,INCLUDED,The proposed action union and resource state reduce to known control objects
P-001,One constrained controller allocates workspace memory state recurrence verification and halt,PW-P001-STORE-ROUTING,Cost-Sensitive Store Routing,"Formalizes store selection as accuracy minus access cost across specialized memory stores",Evaluated policies are oracle heuristic and fixed rather than a learned unified router,EV-0043,Do not cite this work as evidence that learned routing was demonstrated,INCLUDED,It anticipates the cost-sensitive decision formulation only
P-002,Versioned transactional mutations with immutable provenance binding,PW-P002-BITEMPORAL-ENGRAM,Bi-temporal Engram,"Lossless append-only episodes provenance supersession chains invalidation and point-in-time filtering",Not one learned policy over the full candidate action set,EV-0040,Use architecture-neutral history-equivalent interventions only if they exceed existing replay and as-of tests,INCLUDED,Do not confuse with Conditional Memory via Scalable Lookup
P-003,Constrained allocation with complete physical resource accounting,PW-P003-AGENT-MEM-CHAR,Agent Memory systems characterization,"Construction retrieval and generation profiling across ten systems including latency HBM power and energy",Does not measure every candidate axis or train the candidate controller,EV-0041,Predeclare a conclusion-changing intervention beyond adding telemetry axes,INCLUDED,Complete measurement is hygiene unless it changes a scientific result
P-003,Constrained allocation with complete physical resource accounting,PW-P003-AGENT-NATIVE,Agent-Native Memory System study,"Twelve systems across storage extraction routing maintenance update correctness stability and cost-performance",Does not test the candidate workspace controller,EV-0042,Require a replicated contradiction or new predictive law across systems,INCLUDED,Workload-dependent trade-offs and absence of one dominant design are already reported
P-004,Non-additive interaction unavailable from components alone,PW-P004-UMA,Learning to Remember / UMA,"Unified end-to-end training is compared directly with a decoupled two-stage variant",Not the fully matched observation-by-objective factorial proposed in M0,EV-0031,Run the factorial only for a new learning claim rather than policy-class novelty,INCLUDED,A joint-versus-separated gain is already anticipated
P-004,Non-additive interaction unavailable from components alone,PW-P004-DYNAMIC-BENCHMARKS,"Ledger-QA AMemGym Memora and Supersede","Continuous state updates evolving profiles obsolete-memory penalties and supersession are directly evaluated",No single suite contains every WAIN-Core operation,"EV-0031;EV-0037;EV-0038;EV-0039",Identify an architecture-neutral phenomenon absent from all four rather than aggregate operations,INCLUDED,WAIN-Core does not survive as an original benchmark claim
P-004,Non-additive interaction unavailable from components alone,PW-P004-TRACERETAIN,Selective Memory Retention / TraceRetain,"Tests capacity-bounded external memory under controlled noisy-write stress",Does not test the full candidate action union,EV-0044,Identify a new interaction beyond bounded retention under noise,INCLUDED,Venue is CATS@ICML26 Poster rather than ICML main track
P-005,Future LLM systems should shift from prompt accumulation to runtime-governed state and compute,PW-P005-RUNTIME-PLACEMEM,State-Aware Runtime plus PLACEMEM,"Explicitly advocates canonical state validation lifecycle governance and a compute-aware correction-aware memory plane","The candidate changes organization and vocabulary but supplies no new observable boundary or falsifier","EV-0045;EV-0051","M1B-D01 through M1B-D04 would test known regime questions rather than this directional slogan",INCLUDED,Direct collision with the owner's intended direction-setting thesis
P-006,Pre-outcome workload descriptors can select among context-only and stateful implementations,PW-P006-SYSTEMS-CHAR,Agent Memory plus Agent-Native Memory,"Conditions system feasibility and cost-performance on update reuse freshness maintenance and workload bottlenecks","No calibrated cross-family selector T is specified by the candidate","EV-0041;EV-0042","M1B-D01 and M1B-D02 under held-out workload families",INCLUDED,An absent estimator is unsupported rather than a distinct contribution
P-007,Guarantee adequacy certificate and comparison objects govern validity evidence and explicit failure,PW-P007-GOVERNANCE-COMPOSITE,ClawVM plus TOKI plus Verifiable Memory Governance plus State-Aware Runtime,"Supplies typed fidelity temporal isolation provenance authorization scoped retrieval rollback recovery forgetting validation and audit","Separating G Adeq Cert and Cmp corrects the typing but adds no new predicate invariant guarantee or decision law","EV-0045;EV-0046;EV-0047;EV-0054",M1B-D02 with two non-isomorphic governed-state realizations,INCLUDED,Strongest-composite reduction defeats formal-object novelty
P-008,A vector resource envelope separates feasibility from efficiency and Pareto ordering,PW-P008-QOS-RESOURCE-COMPOSITE,QML plus DRF plus working-set theory plus stateful-system characterizations,"Provides implementation-neutral QoS contracts vector resources Pareto efficiency locality and lifecycle accounting","Applying the generic resource vector to LLM state systems supplies no new allocation law","EV-0041;EV-0042;EV-0046;EV-0058;EV-0059;EV-0061","M1B-D01 through M1B-D04 with complete charged lifecycle resources",INCLUDED,Complete accounting remains required experimental hygiene
P-009,Memory use should depend on validity relevance consent and expected downstream benefit,PW-P009-MEMORY-BOUNDARIES,When Should Memory Stay Silent plus PersistBench plus Shared Selective Persistent Memory plus A-TMA,"Directly exhibits no-memory selective-memory harmful-memory stale-state and failure-localization regimes","The candidate provides no new transportable memory-use decision rule","EV-0048;EV-0049;EV-0055;EV-0056","M1B-D01 M1B-D02 and M1B-D04 across orthogonal state realizations",INCLUDED,Known negative regimes cannot serve as an original transition law
P-010,Adaptive compute is warranted only when its marginal expected value repays routing overhead,PW-P010-METAREASONING-ROUTING,Rational Metareasoning plus X-Router plus ATLAS test-time allocation,"Formalizes value of computation evidence-versus-reasoning routing cost-quality selection and adaptive stopping","The candidate supplies no new value estimator policy guarantee or cross-family margin","EV-0029;EV-0052;EV-0053",M1B-D03 against the strongest fixed policies with all routing costs charged,INCLUDED,Compute-transition direction is anticipated
P-011,State validity should be checked before buying more reasoning on stale missing or contradictory state,PW-P011-VALIDITY-COMPUTE-COMPOSITE,STALE plus A-TMA plus PLACEMEM plus PersistBench plus X-Router and value-of-computation,"Combines current-state adjudication failure localization validity-aware memory planes non-monotone reasoning effects and evidence-versus-reasoning routing","The exact factorial is not identified in the read set but the candidate specifies no LLM-specific estimator theorem or coefficient","EV-0049;EV-0050;EV-0051;EV-0052;EV-0053;EV-0056",M1B-D04 state-validity by compute factorial across three model families,INCLUDED,Search silence cannot convert a conceptually reconstructed test into novelty
P-012,An implementation-neutral Omega G B Adeq Cert Cmp T* and T_hat shell can decide transition feasibility comparison and abstention,PW-P012-GENERIC-SYSTEMS-COMPOSITE,Assume-guarantee contracts plus QoS plus DRF plus reject theory plus working sets plus temporal databases plus PROV,"Reconstructs environments assumptions guarantees multidimensional budgets validity histories provenance ordering evidence certification Pareto comparison and abstention","The corrected typing proves no LLM-specific separation; T* is generic and no calibrated T_hat is supplied","EV-0057;EV-0058;EV-0059;EV-0060;EV-0061;EV-0062;EV-0063",M1B-D05 under held-out implementation and workload families,INCLUDED,Generic-theory reduction leaves zero DISTINCT_CANDIDATE
P-013,Revision repair can be certified equivalent to fresh execution,PW-P013-CHANGE-PROPAGATION-CAUSAL,Adaptive Functional Programming plus Causal Agent Replay plus CausalFlow plus approximate probabilistic trace equivalence,"Dynamic dependencies change propagation fresh-execution correctness stochastic interventions confidence intervals dependency-aware repair interaction attribution and finite-horizon total-variation trace bounds","Applying the composite to agent traces supplies no new equivalence invariant or estimator","EV-0067;EV-0068;EV-0078;EV-0080","Formal non-reduction required; finite benchmark gains cannot distinguish the object",INCLUDED,"Covers M1C-C01 through M1C-C04"
P-014,Concurrent agents need decision-aware semantic consistency,PW-P014-CORDON-COAGENT-ICONFLUENCE,Cordon plus CoAgent plus verified anomaly hierarchy plus I-confluence plus approximate trace equivalence,"Task-scoped semantic transactions serial order repair effect staging anomaly verification a necessary-sufficient confluence criterion and finite-horizon distributional trace bounds","A stochastic decision distance is semantic serializability plus probabilistic trace equivalence rather than a distinct consistency object","EV-0064;EV-0065;EV-0066;EV-0079;EV-0080","A formal family outside semantic serializability approximate trace equivalence and I-confluence would be required",INCLUDED,"Covers M1C-C06 and M1C-C07"
P-015,Persistent state should migrate across models and runtimes without changing decisions,PW-P015-ROSETTA-AFTER-PLACEMEM,Rosetta Memory plus AFTER plus PLACEMEM,"Cross-LLM writer-reader adaptation unseen-model replacement cross-model procedural transfer skill versioning validity and invalidation","A target-kernel non-inferiority check is approximate probabilistic trace equivalence plus generic migration validation and adds no new invariant","EV-0051;EV-0069;EV-0070;EV-0080","Twelve source-target pairs with canonical reconstruction would test utility but not technical distinctness",INCLUDED,"Covers M1C-C09 only"
P-016,The causally sufficient semantic read set can govern replay conflict and repair,PW-P016-CAR-CAUSALFLOW,Causal Agent Replay plus CausalFlow,"Same-policy stochastic run-forward dependency-annotated traces confidence intervals localized interventions repairs and Shapley interactions","The sources supply intervention machinery but not the proposed globally inclusion-minimal sufficient closure; that residual is an unsupported generic causal-sufficiency optimization rather than a distinct object","EV-0067;EV-0068","Thirty thousand counterfactual continuations would estimate a residual that has no supplied non-reduction theorem or new estimator",INCLUDED,"Covers M1C-C10"
P-017,Reusable procedural memory should carry executable drift contracts,PW-P017-SKILLDRIFT-AFTER,SkillGuard plus AFTER,"Role-bearing environment contracts live validation versioned procedural artifacts lineage validation promotion rollback and cross-model transfer","Adding a content-addressed manifest reconstructs dependency invalidation and regression testing","EV-0070;EV-0075","At least 8361 controls before new API cases would repeat an anticipated object",INCLUDED,"Exact positive collision for M1C-C11"
P-018,Memory feedback has a measurable reproduction threshold or divergence exponent,PW-P018-AMEMGUARD-LONGITUDINAL-RD,A-MemGuard plus Longitudinal Safety plus rate-distortion compaction,"The sources observe self-reinforcing error cycles rising injection success exposure-dependent violations order effects and repeated-compaction amplification but do not report the candidate scalars","C12 maps exactly to the multitype branching quantity R_M=rho(K); C13 maps exactly to the finite-horizon logarithmic gain lambda_H=H^-1 log(D_H/D_0); no replacement estimator or theorem is supplied when their premises fail","EV-0071;EV-0072;EV-0076","Paired longitudinal designs would measure known feedback through generic summaries without a new mechanism",INCLUDED,"Covers M1C-C12 M1C-C13 and M1C-C16"
P-019,Reset evaluation can misrepresent persistent-stream system behavior and rankings,PW-P019-INHERITANCE-RANK-COMPOSITE,Artifact Ecology plus ShiftBench plus MemDelta plus time-series causal estimands,"Inheritance-aware branches longitudinal memory-policy selection inversions controlled comparison reversals rank-order stability checks and path-indexed potential outcomes","No examined record reports the exact reset-to-stream inversion; the positive composite supplies its protocol phenomenon class and ordinary path interaction, so the residual is ANTICIPATED_BY_COMPOSITE rather than ANTICIPATED_DIRECTLY","EV-0077;EV-0082;EV-0083;EV-0085","The 46848-generation paired state-intervention design could extend the phenomenon to inheritance but cannot establish a new estimator mechanism invariant or law",INCLUDED,"Closes M1C-C15 under the strict anti-assembly threshold"
P-020,Compacted memory should answer only when lost information cannot affect the query,PW-P020-RATE-DISTORTION-REJECT,Rate-distortion memory compaction plus reject-option theory,"The rate-distortion source formally supplies the compaction objective lower bounds query-unknown irreversible loss and repeated-compaction prediction; confidence loss attribution abstention re-expansion fetch and escalation are proposed research directions rather than an evaluated certificate","A conservative certificate still reduces to lossy coding provenance or approximate membership and selective rejection","EV-0060;EV-0071","A sublinear-certificate theorem with nontrivial coverage under adversarial revisions would be required",INCLUDED,"Closes M1C-C05 without treating a proposed agenda as a completed result"
P-021,Recorded agent execution should remain reproducible only inside a certified runtime closure,PW-P021-HERMETIC-REPLAY-COMPOSITE,Cordon plus Causal Agent Replay plus Adaptive Functional Programming,"Lineage recovery metadata dependency-annotated execution records dynamic dependence graphs change propagation and fresh-execution correctness","For complete dependency vector d recorded nondeterminism r and observable F the certificate is F(d,x,r)=F(d,x,r); drift to d-prime requires a separate equivalence proof, so the object is hermetic replay over closed provenance","EV-0064;EV-0067;EV-0078","Twelve thousand replays cannot distinguish tautological recorded-response equality from generic environment equivalence",INCLUDED,"Covers M1C-C08 only"
P-022,Returning through an intervening revision should not change the mandated current-view behavior,PW-P022-HYSTERESIS-HYPERPROPERTY-COMPOSITE,Ziegler hysteresis plus Hyperproperties plus STALE plus A-TMA plus temporal provenance,"Adaptive-agent target reversal without reset signed hysteresis-loop area two-trace probabilistic non-interference stale-state validity and current-view semantics","No examined record reports the exact LLM A-to-B-to-A protocol; the composite already supplies the phenomenon class two-trace condition and LLM failure ingredients, so changing the application cell adds no estimator mechanism invariant or law","EV-0050;EV-0056;EV-0062;EV-0063;EV-0081;EV-0084","The 28800-response protocol could instantiate an anticipated hysteresis phenomenon but cannot establish technical distinctness",INCLUDED,"Closes M1C-C14 as ANTICIPATED_BY_COMPOSITE"
